spice ID,入力文,低確信度,判定,回答候補,備考,intents,応答文,確信度,日付,フィルタ用日付
508732235,当選発表,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,1,2017/10/3 7:34,2017年10月3日火曜日
508313096,当選のお知らせ,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.432824755,2017/10/3 4:37,2017年10月3日火曜日
8158086,当選してから90日過ぎた,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.635430622,2017/10/3 18:03,2017年10月3日火曜日
509585583,当選したiQOSフォルダーは有料ですか？,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.318633306,2017/10/3 1:56,2017年10月3日火曜日
512827172,当選 ,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.663449955,2017/10/3 21:45,2017年10月3日火曜日
508313096,当選,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.663449955,2017/10/3 4:37,2017年10月3日火曜日
510358815,当選,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.663449955,2017/10/3 22:05,2017年10月3日火曜日
11737178,限定アイコス、当選してもらいありがとうございます,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.698312378,2017/10/3 3:50,2017年10月3日火曜日
9656266,ポイントの確認,0,NG,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.335456693,2017/10/3 11:45,2017年10月3日火曜日
513486156,バックコード当選履歴,0,OK,,,97,抽選結果、気になりますよね。私も皆さんの抽選結果、気になります??<br><br>応募は毎日殺到していますが、当選された方からはうれしい声が届いています！<br>（もっと多くの皆さんに当たりますように??）<br><br>応募した賞品の当選結果を確認するにはこちらから！<br>▼賞品（PRIZE）<br>その場で抽選結果が分かります。PRIZE履歴でもチェック可能！（ログインが必要です）<br>https://iqosphere.jp/myaccount/apply-history<br><br>▼REMIX<br>当選された方のみにメールでお知らせします。<br><br>※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。<br><br>▼7 LIMITED HOLDERS<br>当選された方のみにLINEでお知らせしています。,0.910687065,2017/10/3 5:45,2017年10月3日火曜日
