spice id,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,カテゴリ,FSS,Intents番号,Watson回答,回答日時
515549824,M,44,1,4,2018/7/12 15:48,1,保証期間登録,OK,2018/7/13 10:18,10,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/13 10:18
4121222,M,42,3,44,2018/7/14 8:11,1,保証期間延長のやり方,OK,2018/7/14 8:21,8,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 8:21
512100271,M,32,2,13,2018/7/14 10:21,1,保証期間延長するには？,OK,2018/7/14 10:23,10,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 10:23
4118693,M,31,2,87,2017/11/20 2:53,6,保証期間延長,OK,2018/7/14 23:43,23,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 23:43
4730293,M,25,2,35,2018/1/30 14:59,6,保証期間を知りたい,インナーテスト,2018/7/12 17:25,17,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/12 17:26
513304257,M,51,1,11,2017/8/24 21:07,6,保証期間を過ぎて故障したらどのような対応ですか？,対応不要会話,2018/7/14 19:29,19,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 19:29
514561592,F,32,3,8,2018/7/14 11:48,1,保証期間は？,OK,2018/7/14 11:52,11,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 11:52
2631372,F,34,3,39,2018/7/12 21:25,1,保証期間1年まで延長,OK,2018/7/12 21:31,21,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/12 21:31
516142069,M,28,2,1,2018/7/14 21:47,1,保証期間,OK,2018/7/14 21:48,21,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 21:48
514913545,M,53,1,7,2018/1/11 22:34,6,自分のキットの保証期間を知りたい,OK,2018/7/12 15:45,15,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/12 15:45
