spice id,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,カテゴリ,FSS,Intents番号,Watson回答,回答日時
6623161,M,23,6,31,2018/7/16 16:15,1,保証期間,OK,2018/7/16 16:30,16,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間です😊IQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします✨尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせください🙇https://goo.gl/gBa3DW,2018/7/16 16:30
4730293,M,25,43,35,2018/1/30 14:59,6,保証期間,インナーテスト,2018/7/17 11:01,11,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間です😊IQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします✨尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせください🙇https://goo.gl/gBa3DW,2018/7/17 11:01
512615696,M,29,1,13,2017/8/10 19:56,6,保証期間,OK,2018/7/17 15:58,15,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間です😊IQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします✨尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせください🙇https://goo.gl/gBa3DW,2018/7/17 15:58
4217006,F,50,1,41,2017/11/18 14:42,6,保証期間,OK,2018/7/18 18:07,18,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間です😊IQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします✨尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせください🙇https://goo.gl/gBa3DW,2018/7/18 18:07
512162897,M,34,1,13,2017/11/8 14:39,6,保証期間,OK,2018/7/18 20:49,20,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間です😊IQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします✨尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせください🙇https://goo.gl/gBa3DW,2018/7/18 20:49
509504115,,41,1,16,2018/7/17 11:22,1,お世話になりますもともと、マルボロのほうに登録していたみたいです↑ 以上のやり取りでIQOSの保証期間は延長されたのでしょうか？,OK,2018/7/17 11:25,11,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間です😊IQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします✨尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせください🙇https://goo.gl/gBa3DW,2018/7/17 11:25
514524308,M,51,2,8,2017/11/22 17:31,6,紛失の場合はどうなりますか？,OK,2018/7/17 12:54,12,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたします😊https://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね✨,2018/7/17 12:54
514524308,M,51,2,8,2017/11/22 17:31,6,紛失の場合,OK,2018/7/17 12:55,12,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたします😊https://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね✨,2018/7/17 12:55
515991474,M,39,3,2,2018/6/8 9:40,2,紛失,OK,2018/7/17 12:22,12,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたします😊https://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね✨,2018/7/17 12:22
514475457,M,27,1,9,2017/11/17 12:21,6,盗難,OK,2018/7/18 6:40,6,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたします😊https://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね✨,2018/7/18 6:40
